id,call_time,pct,street_add,street_name,date,Incident ID,Call Time,Precinct,Nearest Intersection,street1,street2
202402800396.0,2024-01-28 01:37:35,8.0,16400 CAMBRIDGE AVE, CAMBRIDGE AVE,2024-01-28,202402800372,2024-01-28 06:31:43,8.0,Warwick St & Margareta St,WARWICK ST,MARGARETA ST
202402800425.0,2024-01-28 01:43:59,8.0,19152 FERGUSON ST, FERGUSON ST,2024-01-28,202402800372,2024-01-28 06:31:43,8.0,Warwick St & Margareta St,WARWICK ST,MARGARETA ST
202402801174.0,2024-01-28 06:36:04,8.0,18633 SUNDERLAND RD, SUNDERLAND RD,2024-01-28,202402800372,2024-01-28 06:31:43,8.0,Warwick St & Margareta St,WARWICK ST,MARGARETA ST
202402801182.0,2024-01-28 06:38:02,8.0,18598 WARWICK ST, WARWICK ST,2024-01-28,202402800372,2024-01-28 06:31:43,8.0,Warwick St & Margareta St,WARWICK ST,MARGARETA ST
202402802609.0,2024-01-28 14:38:29,8.0,18359 SAINT MARTINS AVE, SAINT MARTINS AVE,2024-01-28,202402800372,2024-01-28 06:31:43,8.0,Warwick St & Margareta St,WARWICK ST,MARGARETA ST
202402804250.0,2024-01-28 22:27:19,8.0,18126 EVERGREEN RD, EVERGREEN RD,2024-01-28,202402800372,2024-01-28 06:31:43,8.0,Warwick St & Margareta St,WARWICK ST,MARGARETA ST
202402800504.0,2024-01-28 02:16:07,12.0,17923 JOHN R ST, JOHN R ST,2024-01-28,202402800264,2024-01-28 06:07:45,12.0,Puritan St & Meyers Rd,PURITAN ST,MEYERS RD
202402800514.0,2024-01-28 02:19:12,12.0,18 W MONTANA ST, W MONTANA ST,2024-01-28,202402800264,2024-01-28 06:07:45,12.0,Puritan St & Meyers Rd,PURITAN ST,MEYERS RD
202402800541.0,2024-01-28 02:30:11,12.0,13 W MONTANA ST, W MONTANA ST,2024-01-28,202402800264,2024-01-28 06:07:45,12.0,Puritan St & Meyers Rd,PURITAN ST,MEYERS RD
202402802153.0,2024-01-28 12:12:42,12.0,19153 LESURE ST, LESURE ST,2024-01-28,202402800264,2024-01-28 06:07:45,12.0,Puritan St & Meyers Rd,PURITAN ST,MEYERS RD
202402802155.0,2024-01-28 12:13:07,12.0,19153 LESURE ST, LESURE ST,2024-01-28,202402800264,2024-01-28 06:07:45,12.0,Puritan St & Meyers Rd,PURITAN ST,MEYERS RD
202402800185.0,2024-01-28 00:51:07,2.0,13836 ALLONBY ST, ALLONBY ST,2024-01-28,202402800132,2024-01-28 05:35:07,2.0,Plymouth Rd & Whitcomb St,PLYMOUTH RD,WHITCOMB ST
202402800891.0,2024-01-28 04:22:31,2.0,12879 STRATHMOOR ST, STRATHMOOR ST,2024-01-28,202402800132,2024-01-28 05:35:07,2.0,Plymouth Rd & Whitcomb St,PLYMOUTH RD,WHITCOMB ST
202402804422.0,2024-01-28 23:18:01,2.0,6374 MAJESTIC ST, MAJESTIC ST,2024-01-28,202402800132,2024-01-28 05:35:07,2.0,Plymouth Rd & Whitcomb St,PLYMOUTH RD,WHITCOMB ST
202402804588.0,2024-01-28 23:56:01,2.0,15298 WARD ST, WARD ST,2024-01-28,202402800132,2024-01-28 05:35:07,2.0,Plymouth Rd & Whitcomb St,PLYMOUTH RD,WHITCOMB ST
,,,,,2024-01-28,202402802243,2024-01-28 17:39:16,3.0,19th St & Michigan Ave,19TH ST,MICHIGAN AVE
202402800185.0,2024-01-28 00:51:07,2.0,13836 ALLONBY ST, ALLONBY ST,2024-01-28,202402704880,2024-01-28 03:46:16,2.0,Plymouth Rd & Robson St,PLYMOUTH RD,ROBSON ST
202402800891.0,2024-01-28 04:22:31,2.0,12879 STRATHMOOR ST, STRATHMOOR ST,2024-01-28,202402704880,2024-01-28 03:46:16,2.0,Plymouth Rd & Robson St,PLYMOUTH RD,ROBSON ST
202402804422.0,2024-01-28 23:18:01,2.0,6374 MAJESTIC ST, MAJESTIC ST,2024-01-28,202402704880,2024-01-28 03:46:16,2.0,Plymouth Rd & Robson St,PLYMOUTH RD,ROBSON ST
202402804588.0,2024-01-28 23:56:01,2.0,15298 WARD ST, WARD ST,2024-01-28,202402704880,2024-01-28 03:46:16,2.0,Plymouth Rd & Robson St,PLYMOUTH RD,ROBSON ST
202402800009.0,2024-01-28 00:04:35,9.0,12016 CAMDEN AVE, CAMDEN AVE,2024-01-28,202402704756,2024-01-28 03:13:02,9.0,Manning St & Albion St,MANNING ST,ALBION ST
202402800212.0,2024-01-28 00:56:41,9.0,19435 REX ST, REX ST,2024-01-28,202402704756,2024-01-28 03:13:02,9.0,Manning St & Albion St,MANNING ST,ALBION ST
202402800459.0,2024-01-28 01:56:19,9.0,15311 EVANSTON ST, EVANSTON ST,2024-01-28,202402704756,2024-01-28 03:13:02,9.0,Manning St & Albion St,MANNING ST,ALBION ST
202402800487.0,2024-01-28 02:10:03,9.0,19079 HICKORY ST, HICKORY ST,2024-01-28,202402704756,2024-01-28 03:13:02,9.0,Manning St & Albion St,MANNING ST,ALBION ST
202402800949.0,2024-01-28 04:47:01,9.0,18899 JOANN ST, JOANN ST,2024-01-28,202402704756,2024-01-28 03:13:02,9.0,Manning St & Albion St,MANNING ST,ALBION ST
202402800950.0,2024-01-28 04:47:08,9.0,18649 JOANN ST, JOANN ST,2024-01-28,202402704756,2024-01-28 03:13:02,9.0,Manning St & Albion St,MANNING ST,ALBION ST
202402801053.0,2024-01-28 05:30:17,9.0,9295 KING RICHARD ST, KING RICHARD ST,2024-01-28,202402704756,2024-01-28 03:13:02,9.0,Manning St & Albion St,MANNING ST,ALBION ST
202402801053.0,2024-01-28 05:30:17,9.0,9295 KING RICHARD ST, KING RICHARD ST,2024-01-28,202402704756,2024-01-28 03:13:02,9.0,Manning St & Albion St,MANNING ST,ALBION ST
202402801236.0,2024-01-28 07:14:23,9.0,11422 ANNSBURY AVE, ANNSBURY AVE,2024-01-28,202402704756,2024-01-28 03:13:02,9.0,Manning St & Albion St,MANNING ST,ALBION ST
202402802721.0,2024-01-28 15:10:55,9.0,20064 PELKEY ST, PELKEY ST,2024-01-28,202402704756,2024-01-28 03:13:02,9.0,Manning St & Albion St,MANNING ST,ALBION ST
202402803560.0,2024-01-28 18:46:51,9.0,19558 BARLOW ST, BARLOW ST,2024-01-28,202402704756,2024-01-28 03:13:02,9.0,Manning St & Albion St,MANNING ST,ALBION ST
202402804077.0,2024-01-28 21:37:26,9.0,11347 SAUER ST, SAUER ST,2024-01-28,202402704756,2024-01-28 03:13:02,9.0,Manning St & Albion St,MANNING ST,ALBION ST
202402804179.0,2024-01-28 22:04:43,9.0,11066 CRAFT ST, CRAFT ST,2024-01-28,202402704756,2024-01-28 03:13:02,9.0,Manning St & Albion St,MANNING ST,ALBION ST
